F1 Great Britain,20,100,Soft,32.50,87.32,18,2025-05-19
F1 Great Britain,20,100,Medium,32.50,87.32,18,2025-05-19
F1 Great Britain,20,100,Medium,32.50,87.32,18,2025-05-19
F1 Australian GP,26,100,Medium,32.50,87.32,18,2025-05-19
F1 Miami GP,33,100,Soft,32.50,87.32,18,2025-05-19
F1 Qatar GP,37,100,Soft,32.50,87.32,18,2025-05-19
Track: F1 Monaco GP,Temperature: 30,Laps: 75,Tire type: Intermediate,Tire wear percent: 32.50,Best lap time seconds: 87.32,Recommended pit lap: 18,Date: 2025-05-19
Track: F1 Great Britain,Temperature: 20,Laps: 12,Tire type: Medium,Tire wear percent: 32.50,Best lap time seconds: 87.32,Recommended pit lap: 18,Date: 2025-05-19
Track: F1 Mexico GP,Temperature: 10,Laps: 134,Tire type: Wet,Tire wear percent: 32.50,Best lap time seconds: 87.32,Recommended pit lap: 18,Date: 2025-05-19;
Track: F1 Brazil GP,Temperature: 29,Laps: 123,Tire type: Medium,Tire wear percent: 32.50,Best lap time seconds: 87.32,Recommended pit lap: 18,Date: 2025-05-19;
Track: F1 Singapore GP,Temperature: 60,Laps: 124,Tire type: Hard,Tire wear percent: 32.50,Best lap time seconds: 87.32,Recommended pit lap: 18,Date: 2025-05-20;
Track: F1 Miami GP,Temperature: 33,Laps: 60,Tire type: Hard,Tire wear percent: 32.50,Best lap time seconds: 87.32,Recommended pit lap: 18,Date: 2025-05-20;
Track: F1 Great Britain,Temperature: 20,Laps: 12,Tire type: Hard,Tire wear percent: 32.50,Best lap time seconds: 87.32,Recommended pit lap: 18,Date: 2025-05-20;
2026-03-23,F1 Australian GP,35,60,Hard,57.7,83.320,33
